Date,Open,High,Low,Close,Adj Close,Volume
2017-11-30,82.449997,83.400002,82.410004,83.290001,64.041206,18592700
2017-12-01,83.440002,84.129997,82.410004,83.459999,64.171921,13779300
2017-12-04,83.209999,84.180000,83.000000,83.570000,64.256508,12597700
2017-12-05,83.410004,83.769997,82.709999,82.889999,63.733654,9357200
2017-12-06,82.849998,83.199997,82.209999,82.279999,63.264633,13398900
2017-12-07,82.400002,82.620003,82.169998,82.550003,63.472233,11359600
2017-12-08,82.489998,82.900002,82.260002,82.660004,63.556793,11988600
2017-12-11,83.040001,83.250000,82.739998,83.029999,63.841301,8760700
2017-12-12,82.889999,83.379997,82.699997,82.760002,63.633698,11307000
2017-12-13,82.610001,83.300003,82.480003,83.120003,63.910496,10172700
2017-12-14,83.029999,83.330002,82.889999,82.900002,63.741337,9492400
2017-12-15,83.160004,83.279999,82.870003,83.029999,63.841301,26582300
2017-12-18,83.180000,83.669998,82.910004,82.940002,63.772095,9363500
2017-12-19,83.029999,83.169998,82.330002,82.440002,63.387657,10285100
2017-12-20,82.599998,83.139999,82.519997,82.870003,63.718273,10620300
2017-12-21,83.349998,84.269997,82.959999,83.849998,64.471786,13578100
2017-12-22,83.879997,84.019997,83.599998,83.970001,64.564056,10161400
2017-12-26,83.959999,84.360001,83.900002,83.980003,64.571739,4777200
2017-12-27,83.989998,84.099998,83.739998,83.900002,64.510239,7000600
2017-12-28,83.980003,84.050003,83.800003,84.019997,64.602493,7495300
2017-12-29,84.000000,84.199997,83.639999,83.639999,64.310326,8523400
2018-01-02,83.820000,85.199997,83.660004,85.029999,65.379074,11469300
2018-01-03,85.160004,86.970001,84.820000,86.699997,66.663147,13957700
2018-01-04,86.790001,87.220001,86.430000,86.820000,66.755386,10863000
2018-01-05,86.750000,86.879997,85.709999,86.750000,66.701576,11047600
2018-01-08,86.699997,87.150002,86.599998,87.139999,67.001457,10927100
2018-01-09,86.940002,87.150002,86.650002,86.769997,66.716957,8131600
2018-01-10,87.000000,87.190002,85.980003,86.080002,66.186432,10822300
2018-01-11,86.360001,87.370003,85.930000,86.930000,66.839973,14366000
2018-01-12,87.199997,87.989998,87.180000,87.519997,67.293625,9834500
2018-01-16,87.739998,87.760002,86.599998,86.970001,66.870750,10882800
2018-01-17,87.199997,88.209999,86.930000,88.000000,67.662712,10546000
2018-01-18,87.769997,88.190002,87.339996,87.430000,67.224426,9223700
2018-01-19,87.570000,87.760002,86.610001,87.150002,67.009140,13090000
2018-01-22,87.169998,88.290001,87.050003,88.250000,67.854912,10270400
2018-01-23,88.250000,88.459999,87.739998,88.300003,67.893372,10281800
2018-01-24,88.489998,88.919998,88.010002,88.529999,68.070221,10316100
2018-01-25,88.550003,88.870003,88.199997,88.370003,67.947197,11271900
2018-01-26,88.639999,89.000000,88.470001,89.000000,68.431602,10514400
2018-01-29,88.589996,89.300003,87.949997,88.010002,67.670380,9315700
2018-01-30,87.540001,88.379997,86.779999,86.779999,66.724640,12408000
2018-01-31,86.559998,87.470001,86.330002,87.300003,67.124489,14404700
2018-02-01,87.500000,89.250000,87.349998,89.070000,68.485413,17971000
2018-02-02,85.129997,86.010002,83.000000,84.529999,64.994637,29822100
2018-02-05,83.279999,83.989998,78.129997,79.720001,61.296249,30452700
2018-02-06,78.510002,80.349998,76.900002,78.349998,60.242870,36262800
2018-02-07,78.440002,79.410004,76.919998,76.940002,59.158737,21994500
2018-02-08,77.440002,77.580002,76.029999,76.070000,58.489788,25650800
2018-02-09,76.250000,76.480003,73.900002,75.779999,58.862633,29491600
2018-02-12,77.050003,77.620003,75.839996,76.419998,59.359745,19340400
2018-02-13,76.099998,76.750000,75.730003,76.300003,59.266548,11926600
2018-02-14,75.790001,76.660004,75.169998,76.459999,59.390827,17188400
2018-02-15,76.620003,76.699997,75.449997,76.209999,59.196644,14432400
2018-02-16,76.150002,77.120003,75.849998,76.540001,59.452972,13722400
2018-02-20,76.470001,77.470001,75.459999,75.750000,58.839321,13387300
2018-02-21,75.820000,76.440002,74.870003,74.889999,58.171322,11715000
2018-02-22,75.300003,76.839996,75.190002,75.860001,58.924782,14020200
2018-02-23,76.089996,77.620003,75.949997,77.529999,60.221954,13378800
2018-02-26,77.739998,78.930000,77.559998,78.839996,61.239510,16940400
2018-02-27,79.000000,79.870003,77.500000,77.500000,60.198647,14629500
2018-02-28,78.160004,78.250000,75.699997,75.739998,58.831570,17087800
2018-03-01,75.529999,76.680000,74.860001,75.199997,58.412117,15696700
2018-03-02,74.889999,75.870003,74.480003,75.550003,58.683975,15630300
